web_title,section_name,publication_date
Manmohan Singh obituary,World news,2024-12-29T16:37:51Z
Huge election year worldwide sees weakening commitment to act on climate crisis,Environment,2024-11-23T11:00:40Z
"Who is Gautam Adani, the Indian billionaire charged in the US over bribery plot?",Business,2024-11-21T15:25:29Z
Keir Starmer to restart UK-India talks after previous negotiations stalled,Politics,2024-11-18T22:00:19Z
Narendra Modi to make ‘historic’ Guyana visit for energy talks,World news,2024-11-18T05:00:29Z
Narendra Modi condemns attack on Hindu temple in Canada as tensions rise,World news,2024-11-04T17:21:06Z
Canada alleges Indian minister behind plot to target Sikh separatists,World news,2024-10-30T10:37:15Z
Tuesday briefing: Canada puts India ‘on notice’ as row over alleged killing of Sikh activists escalates,World news,2024-10-22T05:44:10Z
"Drive-by shootings, arson and murder: is the Indian government trying to silence Canada’s Sikh activists?",World news,2024-10-19T11:00:16Z
Why has Canada accused Indian diplomats of ‘criminal’ activities?,World news,2024-10-15T15:33:47Z
Canadian police accuse India of working with criminal network to kill dissidents,World news,2024-10-15T14:39:55Z
Canadian police accuse Indian diplomats of ‘criminal’ activities including homicides,World news,2024-10-14T23:21:48Z
Opposition Congress party wins power in Indian-administered Kashmir,World news,2024-10-08T15:40:46Z
"Hi-tech, strategic: new wave of Kashmir militant attacks before elections stuns Indian forces",World news,2024-09-14T12:00:27Z
These 21st-century demagogues aren’t mavericks – they’ve repeated on us throughout history | George Monbiot,Opinion,2024-09-06T05:00:17Z
Why fascists hate universities | Jason Stanley,Opinion,2024-09-05T17:00:01Z
Farming the Revolution review – low-key look at Indian farmers’ street-camp protests,Film,2024-08-26T12:00:31Z
Ukraine war briefing: Biden and Zelenskiy talk as Ukraine prepares to mark independence day,World news,2024-08-24T05:09:29Z
Five of the best books about Indian politics,Books,2024-08-15T13:16:27Z
Priyanka Gandhi: Congress party pins hopes on charismatic member of India’s political dynasty,World news,2024-08-14T01:00:28Z
The New India by Rahul Bhatia review – how nationalism changed a country,Books,2024-07-31T06:30:16Z
Why is Modi sucking up to Putin? It’s simple and cynical: China and oil | Sergey Radchenko,Opinion,2024-07-10T10:00:53Z
Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
India PM Modi to meet Putin in first trip to Russia since Ukraine war began,World news,2024-07-05T01:48:48Z
Open letter in India calls for withdrawal of go-ahead to prosecute Arundhati Roy,World news,2024-06-23T15:59:48Z
The hounding of Arundhati Roy shows there’s still no room for dissent in India | Salil Tripathi,Opinion,2024-06-21T14:32:37Z
Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
Narendra Modi sworn in for third term as prime minister of India,World news,2024-06-09T15:21:08Z
‘Indian democracy fought back’: Modi humbled as opposition gains ground,World news,2024-06-09T10:08:10Z
‘A sweet breeze amid a heatwave’: liberals feel hope again following Narendra Modi’s loss of his majority,World news,2024-06-08T16:08:56Z
Muted election win for Modi may usher in new era for India’s oligarch class,World news,2024-06-07T13:27:17Z
British Indians: share your reaction to the election in India,World news,2024-06-07T10:29:05Z
Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
Thursday briefing: Narendra Modi reaches a crossroads as India denies him a majority in election upset,World news,2024-06-06T05:49:38Z
Narendra Modi wins backing of allies to form Indian government,World news,2024-06-05T18:28:43Z
"‘Bit of a moment for Rahul Gandhi’: new dawn for India’s opposition, but where to now?",World news,2024-06-05T18:13:26Z
How voters turned against Narendra Modi in his party’s heartland,World news,2024-06-05T15:25:05Z
The hidden story behind India’s remarkable election results: lethal heat | Amitava Kumar,Opinion,2024-06-05T14:14:46Z
Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
John Oliver on Narendra Modi: ‘India seems to be sliding toward authoritarianism’,Television & radio,2024-06-03T16:24:03Z
India elections: exit polls show Narendra Modi expected to win historic third term,World news,2024-06-03T03:50:16Z
The Incarcerations: BK-16 and the Search for Democracy in India by Alpa Shah – review,Books,2024-06-02T15:00:07Z
The Guardian view on India’s election: Narendra Modi’s audacity of hate | Editorial,Opinion,2024-05-30T17:52:58Z
India elections: PM Narendra Modi claims he has been chosen by God,World news,2024-05-27T06:56:56Z
Revealed: Meta approved political ads in India that incited violence,World news,2024-05-20T10:00:02Z
‘Modi builds highways but where are our jobs?’: rising inequality looms over India’s election,World news,2024-05-20T02:00:52Z
"‘He likes scaring people’: how Modi’s right-hand man, Amit Shah, runs India",World news,2024-05-16T04:00:57Z
‘Pressured to withdraw’: BJP accused of intimidation tactics in India polls ,World news,2024-05-14T02:00:22Z
Can Modi finally win over the southern states and reshape India’s electoral map?,World news,2024-05-07T03:00:03Z
"With India’s election in full swing, Narendra Modi is getting desperate – and dangerous | Salil Tripathi",Opinion,2024-04-29T12:51:42Z
India election: fears that Modi’s BJP will polarise voters in fight for key state,World news,2024-04-26T01:00:24Z
Narendra Modi accused of stirring tensions as voting in India continues,World news,2024-04-22T17:35:16Z
"As India goes to the polls, can democracy deliver a better life for all of its people? ",Global development,2024-04-20T06:30:19Z
Voting begins in India’s election with Modi widely expected to win third term,World news,2024-04-19T02:30:01Z
"Six weeks, 969 million voters, 2,600 parties: India’s mammoth election explained",World news,2024-04-18T04:00:20Z
The Guardian view on India’s election: fixing a win by outlawing dissent damages democracy | Editorial,Opinion,2024-04-17T17:32:19Z
Brought to boil: inside the 19 April Guardian Weekly,News,2024-04-17T17:05:08Z
‘I was told I’d be killed if I didn’t leave’: Himalayan state is a testing ground for Modi’s nationalism,World news,2024-04-14T10:00:50Z
A nagging doubt plagues world leaders wooing India: whose side is Narendra Modi really on? | Simon Tisdall,Opinion,2024-04-13T15:00:26Z
‘BJP v democracy’: India’s opposition alliance cries foul as election nears,World news,2024-04-09T01:00:37Z
India appears to confirm extrajudicial killings in Pakistan,World news,2024-04-05T15:40:16Z
India summons envoy after US criticises Delhi chief minister’s arrest,World news,2024-03-28T20:57:02Z
‘Brazen propaganda’: pro-Modi films flood Bollywood before India election,Film,2024-03-22T11:32:51Z
Who congratulated Putin on his election victory and what does it say about global alliances?,World news,2024-03-19T05:45:57Z
Narendra Modi’s BJP given £570m under scheme allowing anonymous donations,World news,2024-03-15T13:16:54Z
India enacts citizenship law criticised as ‘discriminatory’ to Muslims,World news,2024-03-12T05:07:03Z
Narendra Modi visits Kashmir for first time since state’s autonomy stripped,World news,2024-03-07T11:12:16Z
‘Why are you asleep?’ Rahul Gandhi pleads with India’s low castes to vote out Modi,World news,2024-02-27T04:00:10Z
India confronts Google over Gemini AI tool’s ‘fascist Modi’ responses,World news,2024-02-26T09:42:29Z
The Guardian view on Modi in Ayodhya: an alarming new era for India | Editorial,Opinion,2024-01-22T18:42:19Z
"As petals rained down and celebrities beamed, Modi unveiled his vision of a Hindu India | Mukul Kesavan",Opinion,2024-01-22T14:18:35Z
Divine moment or political gimmick? India gears up to inaugurate huge Hindu temple,World news,2024-01-15T13:49:18Z
Modi trip to Indian islands prompts Maldives row,World news,2024-01-08T10:00:45Z
BJP win in India’s 2024 general election ‘almost an inevitability’,World news,2023-12-31T09:02:05Z
The world in 2024: Guardian writers on what to look out for,World news,2023-12-30T12:00:33Z
The Guardian view on the power of hope: a Christmas gift in dark times | Editorial,Opinion,2023-12-22T18:30:03Z
"An MP, her ex and their dog: Mahua Moitra’s battle with India’s parliament",World news,2023-12-22T03:01:43Z
Indian government accused of attack on democracy as 141 MPs suspended,World news,2023-12-19T16:29:06Z
India’s supreme court upholds decision to strip Kashmir of special status,World news,2023-12-11T09:48:46Z
No 10 team arrives in Delhi to revive talks over free trade deal,Politics,2023-12-08T15:56:12Z
Arundhati Roy is being hounded by the Indian state. This is a test case for its democracy | Meena Kandasamy,Opinion,2023-10-20T11:35:24Z
The Guardian view on World Cup sportwashing: money talks – and what it says is troubling | Editorial,Opinion,2023-10-08T17:25:47Z
Delhi police search journalists’ homes in latest raids on media,World news,2023-10-03T15:16:27Z
‘A tool of political control’: how India became the world leader in internet blackouts,World news,2023-09-25T05:01:41Z
The Observer view on assassination of Sikh in Canada: Narendra Modi’s hubris is ill-judged | Observer editorial,Opinion,2023-09-24T05:04:13Z
"How should UK, US and Australia respond to Canada-India row?",World news,2023-09-20T18:52:20Z
 Canada killing adds to suspicions of Indian crackdown on Sikh separatists,World news,2023-09-19T18:33:17Z
